Year,Week,Data 1
1996,18,1.301
1996,19,-1.81
1996,20,1.63
1996,21,2.579
1996,22,1.435
1996,23,-1.384
1996,24,0.626
1996,25,-1.108
1996,26,0.149
1996,27,0.568
1996,28,-1.967
1996,29,-1.711
1996,30,-1.154
1996,31,-0.443
1996,32,4.181
1996,33,-0.059
1996,34,0.47
1996,35,0.274
1996,36,-2.255
1996,37,0.566
1996,38,3.791
1996,39,0.954
1996,40,-0.122
1996,41,2.225
1996,42,-0.114
1996,43,1.45
1996,44,-1.393
1996,45,0.407
1996,46,3.844
1996,47,0.93
1996,48,1.506
1996,49,1.107
1996,50,-2.301
1996,51,-1.482
1996,52,2.776
1997,1,1.058
1997,2,-1.158
1997,3,1.533
1997,4,2.195
1997,5,-0.728
1997,6,2.03
1997,7,0.432
1997,8,2.396
1997,9,-0.83
1997,10,-1.366
1997,11,1.789
1997,12,-1.466
1997,13,-1.144
1997,14,-1.303
1997,15,-2.065
1997,16,-2.672
1997,17,3.889
1997,18,-0.127
1997,19,6.219
1997,20,1.453
1997,21,0.603
1997,22,2.083
1997,23,0.148
1997,24,1.147
1997,25,4.11
1997,26,0.608
1997,27,-1.268
1997,28,3.338
1997,29,-0.026
1997,30,-0.151
1997,31,2.566
1997,32,0.889
1997,33,-1.436
1997,34,-3.506
1997,35,2.523
1997,36,-2.606
1997,37,3.289
1997,38,-0.553
1997,39,2.879
1997,40,-0.557
1997,41,2.096
1997,42,0.202
1997,43,-2.36
1997,44,-0.267
1997,45,-2.869
1997,46,1.409
1997,47,0.091
1997,48,3.742
1997,49,-0.798
1997,50,2.972
1997,51,-3.09
1997,52,-0.693
