Country/Region,time,precipIntensityMax,temperatureLow,humidity,pressure
Afghanistan,2/9/2020,0.0512,38.26,0.84,1018.8
Afghanistan,2/10/2020,0.1087,40.31,0.88,1015.6
Afghanistan,2/11/2020,0.0933,34.08,0.9,1016.3
Afghanistan,2/12/2020,0.0604,28.31,0.69,1025.1
Afghanistan,2/13/2020,0.0003,30.88,0.45,1027.2
Afghanistan,2/14/2020,0.0003,28.96,0.46,1025.3
Afghanistan,2/15/2020,0.0003,32.65,0.4,1028.6
Afghanistan,2/16/2020,0.0003,34.44,0.39,1027.8
Afghanistan,2/17/2020,0.0004,30.49,0.49,1022.9
Afghanistan,2/18/2020,0.0004,27.44,0.53,1021
Afghanistan,2/19/2020,0.0004,34.54,0.38,1022.4
Afghanistan,2/20/2020,0.0034,38.35,0.51,1021.7
Afghanistan,2/21/2020,0.0004,38.84,0.54,1023.6
Afghanistan,2/22/2020,0.0016,39.44,0.61,1021.8
Afghanistan,2/23/2020,0.0003,37.2,0.66,1019.4
Afghanistan,2/24/2020,0.0003,41.86,0.59,1020.1
Afghanistan,2/25/2020,0.0003,43.93,0.56,1017.3
Afghanistan,2/26/2020,0.0453,38.86,0.68,1012.8
Afghanistan,2/27/2020,0.0036,36.95,0.76,1016.3
Afghanistan,2/28/2020,0.0003,38.87,0.69,1017.6
Afghanistan,2/29/2020,0.0003,39.39,0.58,1018.6
Afghanistan,3/1/2020,0.0002,44.11,0.44,1017.2
Afghanistan,3/2/2020,0.0644,39.59,0.62,1013.6
Afghanistan,3/3/2020,0.0073,38.03,0.67,1011.2
Afghanistan,3/4/2020,0.0044,33.3,0.74,1013.3
Afghanistan,3/5/2020,0.0002,35.28,0.57,1015.3
Afghanistan,3/6/2020,0.0003,29.42,0.52,1016.5
Afghanistan,3/7/2020,0.0005,36.75,0.49,1020.1
Afghanistan,3/8/2020,0.0065,37.28,0.65,1018.5
Afghanistan,3/9/2020,0.0043,28.68,0.76,1016.7
Afghanistan,3/10/2020,0.0017,33.8,0.52,1014.5
Afghanistan,3/11/2020,0.001,35.97,0.57,1014.8
Afghanistan,3/12/2020,0.0004,38.35,0.54,1020.1
Afghanistan,3/13/2020,0,43.03,0.41,1020
Afghanistan,3/14/2020,0,47.76,0.43,1017.9
Afghanistan,3/15/2020,0.0008,45.62,0.55,1017.9
Afghanistan,3/16/2020,0.0044,46.03,0.63,1019.3
Afghanistan,3/17/2020,0.0146,45.59,0.62,1019
Afghanistan,3/18/2020,0.0079,47.29,0.61,1014.7
Afghanistan,3/19/2020,0.0571,43.03,0.78,1011.6
Afghanistan,3/20/2020,0.0018,45.33,0.57,1014.6
Afghanistan,3/21/2020,0.0135,46.27,0.62,1015
Afghanistan,3/22/2020,0.0976,45.44,0.89,1010.6
Afghanistan,3/23/2020,0.1232,38.22,0.82,1011.2
Afghanistan,3/24/2020,0.0212,39.11,0.67,1014.6
Afghanistan,3/25/2020,0.0043,41.4,0.65,1016
Afghanistan,3/26/2020,0.0046,43.08,0.63,1015.4
Afghanistan,3/27/2020,0.0047,41.8,0.63,1016.7
Afghanistan,3/28/2020,0.1001,43.72,0.65,1016.1
Afghanistan,3/29/2020,0.3543,44.87,0.89,1012.4
Afghanistan,3/30/2020,0.1282,43.06,0.79,1012.6
Afghanistan,3/31/2020,0.0059,40.91,0.6,1016.9
Afghanistan,4/1/2020,0.0003,47.98,0.52,1017.9
Afghanistan,4/2/2020,0.0003,48.84,0.5,1017
Afghanistan,4/3/2020,0.0509,45.23,0.62,1016.7
Afghanistan,4/4/2020,0.0016,47.1,0.57,1017.2
Afghanistan,4/5/2020,0.0335,40.86,0.67,1015.9
Afghanistan,4/6/2020,0.0002,46.28,0.52,1016.8
Afghanistan,4/7/2020,0.0003,49.2,0.57,1014.9
Afghanistan,4/8/2020,0.0672,48.66,0.67,1015.7
Afghanistan,4/9/2020,0.0032,51.88,0.69,1017.6
Afghanistan,4/10/2020,0.0094,52.53,0.74,1019.5
Afghanistan,4/11/2020,0.0325,54.7,0.68,1017.3
Afghanistan,4/12/2020,0.0511,48.51,0.65,1013.7
Afghanistan,4/13/2020,0.0942,44.27,0.85,1013.9
Afghanistan,4/14/2020,0.003,48.69,0.7,1017.7
Afghanistan,4/15/2020,0.013,49.71,0.66,1015
Afghanistan,4/16/2020,0.0187,47.94,0.71,1012
Afghanistan,4/17/2020,0.0114,48.01,0.62,1014.3
Afghanistan,4/18/2020,0.0014,47.27,0.57,1013.4
Afghanistan,4/19/2020,0.0007,48.9,0.58,1013.4
Afghanistan,4/20/2020,0.0003,52.04,0.5,1014
Albania,12/31/2019,0.0002,29.8,0.52,1027
Albania,1/1/2020,0.0003,32.28,0.48,1030.3
Albania,1/2/2020,0.0003,36.11,0.44,1026.6
Albania,1/3/2020,0.0039,36.67,0.4,1021.9
Albania,1/4/2020,0.0063,31.49,0.59,1018.2
Albania,1/5/2020,0,29.21,0.46,1022.3
Albania,1/6/2020,0.0002,31.09,0.37,1024.7
Albania,1/7/2020,0.0002,32.16,0.31,1028.2
Albania,1/8/2020,0,33.28,0.4,1028.4
Albania,1/9/2020,0.0003,38.4,0.42,1025
Albania,1/10/2020,0.0277,41.66,0.64,1024.3
Albania,1/11/2020,0.0292,39.13,0.79,1026.1
Albania,1/12/2020,0.0003,38.04,0.73,1027.4
Albania,1/13/2020,0,37.88,0.74,1026.7
Albania,1/14/2020,0.0001,39.16,0.65,1027.4
Albania,1/15/2020,0.0002,36.23,0.54,1025.8
Albania,1/16/2020,0.0004,36.93,0.53,1025.6
Albania,1/17/2020,0.0002,38.05,0.62,1024
Albania,1/18/2020,0.0014,35.61,0.74,1023.6
Albania,1/19/2020,0.0002,32.57,0.64,1036
Albania,1/20/2020,0.0002,35.55,0.42,1039.4
Albania,1/21/2020,0.0001,33.61,0.42,1032.9
Albania,1/22/2020,0.0002,36.38,0.39,1029.1
Albania,1/23/2020,0.0002,39.18,0.49,1031.2
Albania,1/24/2020,0.0155,44.16,0.79,1027.7
Albania,1/25/2020,0.0129,46.17,0.81,1023.1
Albania,1/26/2020,0.0905,43.77,0.88,1017.8
Albania,1/27/2020,0.0195,46.48,0.86,1017.5
Albania,1/28/2020,0.0861,41.53,0.88,1012.7
Albania,1/29/2020,0.012,35.17,0.82,1019.2
Albania,1/30/2020,0.0006,42.9,0.69,1022.6
Albania,1/31/2020,0.0009,40.58,0.79,1021.2
Albania,2/1/2020,0.0009,42.75,0.79,1021
Albania,2/2/2020,0.0015,43.98,0.82,1019.5
Albania,2/3/2020,0.0849,35.79,0.81,1008.5
Albania,2/4/2020,0.2167,30.23,0.78,998.3
Albania,2/5/2020,0.0003,26.44,0.67,1016.1
Albania,2/6/2020,0.0003,30.32,0.59,1024.1
Albania,2/7/2020,0.0003,32.75,0.68,1029
Albania,2/8/2020,0.0003,35.93,0.72,1032.9
Albania,2/9/2020,0.0143,45.48,0.8,1025.9
Albania,2/10/2020,0.0222,48.21,0.84,1014.4
Albania,2/11/2020,0.0293,38.66,0.85,1016.5
Albania,2/12/2020,0.0008,42.02,0.67,1024.1
Albania,2/13/2020,0.182,39.37,0.77,1017.7
Albania,2/14/2020,0.0027,36.87,0.69,1023
Albania,2/15/2020,0.0003,39.07,0.61,1029.8
Albania,2/16/2020,0.0003,39.02,0.59,1027
Albania,2/17/2020,0.0004,42.49,0.63,1021.8
Albania,2/18/2020,0.0083,43.99,0.74,1018.5
Albania,2/19/2020,0.0526,32.76,0.78,1016.5
Albania,2/20/2020,0.0009,35.32,0.62,1022.7
Albania,2/21/2020,0.0037,34.35,0.56,1027.6
Albania,2/22/2020,0.0003,38.34,0.5,1027.2
Albania,2/23/2020,0.0003,45.4,0.56,1020.5
Albania,2/24/2020,0.0003,43.24,0.6,1016.1
Albania,2/25/2020,0.0442,39.59,0.72,1007.1
Albania,2/26/2020,0.1805,36.58,0.85,1008.7
Albania,2/27/2020,0.2218,30.76,0.84,1013.2
Albania,2/28/2020,0.0003,34.49,0.64,1021
Albania,2/29/2020,0.0003,43.88,0.61,1018.4
Albania,3/1/2020,0.0148,48.67,0.78,1012.4
Albania,3/2/2020,0.1733,45.45,0.75,1007.1
Albania,3/3/2020,0.193,40.69,0.88,1006.9
Albania,3/4/2020,0.0043,39.24,0.8,1010.2
Albania,3/5/2020,0.0447,46.82,0.73,1009
Albania,3/6/2020,0.1259,45.45,0.88,1009
Albania,3/7/2020,0.0621,43.15,0.89,1013.4
Albania,3/8/2020,0.0111,40.09,0.85,1011.9
Albania,3/9/2020,0.0035,39.17,0.77,1013.3
Albania,3/10/2020,0.0004,43.68,0.68,1019.6
Albania,3/11/2020,0.0004,48.16,0.66,1020.7
Albania,3/12/2020,0.0004,50.06,0.64,1014.6
Albania,3/13/2020,0.0355,51.12,0.68,1013.9
Albania,3/14/2020,0.0431,41.62,0.87,1016.7
Albania,3/15/2020,0.0001,35.31,0.64,1026.8
Albania,3/16/2020,0.0005,40.23,0.53,1029.4
Albania,3/17/2020,0.0003,42.7,0.49,1024.6
Albania,3/18/2020,0.0003,42.15,0.48,1025.6
Albania,3/19/2020,0.0002,45.8,0.52,1022.4
Albania,3/20/2020,0.0004,49.07,0.57,1017.1
Albania,3/21/2020,0.0616,41.81,0.64,1013.7
Albania,3/22/2020,0.0474,34.83,0.87,1015.7
Albania,3/23/2020,0.0191,31.01,0.81,1017.1
Albania,3/24/2020,0.0028,43.42,0.73,1016.4
Albania,3/25/2020,0.0022,46.01,0.66,1010.8
Albania,3/26/2020,0.0121,42.89,0.79,1013.1
Albania,3/27/2020,0.0576,45.82,0.81,1013.2
Albania,3/28/2020,0.0155,44.02,0.79,1012.2
Albania,3/29/2020,0.0055,47.9,0.66,1012
Albania,3/30/2020,0.0284,43.2,0.67,1013.5
Albania,3/31/2020,0.1861,33.22,0.91,1011.8
Albania,4/1/2020,0.0048,37.94,0.77,1014.2
Albania,4/2/2020,0.0071,45.98,0.77,1013.7
Albania,4/3/2020,0.0024,49.81,0.72,1011.3
Albania,4/4/2020,0.0003,48.78,0.64,1014.7
Albania,4/5/2020,0.0002,45.32,0.53,1023.2
Albania,4/6/2020,0,45.06,0.31,1025.9
Albania,4/7/2020,0.0003,44.96,0.32,1024.2
Albania,4/8/2020,0.0004,47.1,0.33,1020.6
Albania,4/9/2020,0.0003,50.27,0.38,1019.3
Albania,4/10/2020,0.0006,54.31,0.45,1020.2
Albania,4/11/2020,0.0005,49.51,0.49,1021
Albania,4/12/2020,0.0004,48.67,0.42,1019.7
Albania,4/13/2020,0.0343,43.76,0.48,1014.3
Albania,4/14/2020,0.0183,39.38,0.62,1017.4
Albania,4/15/2020,0,44.53,0.5,1022.8
Albania,4/16/2020,0,46.03,0.53,1019.2
Albania,4/17/2020,0,51.35,0.52,1017.6
Albania,4/18/2020,0.006,55.84,0.53,1015.5
Albania,4/19/2020,0.005,55.93,0.64,1011.6
Albania,4/20/2020,0.1037,51.12,0.87,1010.7
Algeria,12/31/2019,0.0002,36.86,0.4,1031.9
Algeria,1/1/2020,0.0003,38.4,0.37,1031.5
Algeria,1/2/2020,0.0004,38.87,0.3,1030.7
Algeria,1/3/2020,0.0003,41.24,0.27,1027.6
Algeria,1/4/2020,0.0002,40.71,0.26,1024.4
Algeria,1/5/2020,0,44.24,0.23,1023
Algeria,1/6/2020,0.0002,43.24,0.44,1023.6
Algeria,1/7/2020,0.0002,41.1,0.37,1023.4
Algeria,1/8/2020,0.0001,38.07,0.34,1022.3
Algeria,1/9/2020,0.0003,38.04,0.47,1022.6
Algeria,1/10/2020,0.0003,42.08,0.48,1022.8
Algeria,1/11/2020,0.0047,38.69,0.59,1024.6
Algeria,1/12/2020,0.0003,40.83,0.5,1025.7
Algeria,1/13/2020,0,42.31,0.44,1026
Algeria,1/14/2020,0.0001,46.66,0.44,1026
Algeria,1/15/2020,0.0004,43.64,0.54,1025.2
Algeria,1/16/2020,0.0004,43,0.51,1027.7
Algeria,1/17/2020,0.0002,43.43,0.39,1028.8
Algeria,1/18/2020,0,49.78,0.3,1020.7
Algeria,1/19/2020,0.0002,54.06,0.17,1010.7
Algeria,1/20/2020,0,55.18,0.16,1013.5
Algeria,1/21/2020,0,49.53,0.18,1016.7
Algeria,1/22/2020,0,52.15,0.25,1019.9
Algeria,1/23/2020,0.0002,53.56,0.21,1021.7
Algeria,1/24/2020,0.001,57.29,0.21,1021.4
Algeria,1/25/2020,0.0003,49.81,0.29,1019.6
Algeria,1/26/2020,0.0004,49.87,0.26,1021.7
Algeria,1/27/2020,0.0002,44.35,0.37,1023.5
Algeria,1/28/2020,0.0003,42.5,0.25,1024.1
Algeria,1/29/2020,0.0003,46.82,0.13,1024.1
Algeria,1/30/2020,0.0003,49.12,0.11,1022.3
Algeria,1/31/2020,0.0003,51.52,0.13,1021.8
Algeria,2/1/2020,0.0002,50.2,0.26,1024.4
Algeria,2/2/2020,0.0003,51.39,0.33,1026.4
Algeria,2/3/2020,0.0003,51.55,0.31,1025.1
Algeria,2/4/2020,0.0003,50.27,0.25,1020.6
Algeria,2/5/2020,0,46.45,0.28,1022.3
Algeria,2/6/2020,0.0003,45.5,0.12,1023.9
Algeria,2/7/2020,0.0003,48.21,0.1,1022.3
Algeria,2/8/2020,0.0003,52.29,0.1,1023.2
Algeria,2/9/2020,0.0004,51.63,0.09,1026.2
Algeria,2/10/2020,0,61.99,0.1,1025.1
Algeria,2/11/2020,0.0034,57.06,0.16,1022.2
Algeria,2/12/2020,0.0007,56.9,0.39,1021.5
Algeria,2/13/2020,0.0003,56.41,0.21,1021.1
Algeria,2/14/2020,0.0003,57.39,0.18,1021.8
Algeria,2/15/2020,0.0003,53.45,0.17,1023.3
Algeria,2/16/2020,0.0003,52.54,0.18,1022.6
Algeria,2/17/2020,0.0004,47.65,0.26,1022.8
Algeria,2/18/2020,0.0001,51.63,0.23,1020.4
Algeria,2/19/2020,0.0004,53.59,0.2,1018.2
Algeria,2/20/2020,0.0003,55.21,0.13,1019.3
Algeria,2/21/2020,0.0004,52.59,0.14,1023
Algeria,2/22/2020,0.0003,46.75,0.16,1026.7
Algeria,2/23/2020,0.0003,50.56,0.33,1025.4
Algeria,2/24/2020,0.0003,49.23,0.2,1020.4
Algeria,2/25/2020,0,49.76,0.12,1017.7
Algeria,2/26/2020,0.0003,51.89,0.1,1019.6
Algeria,2/27/2020,0,52.66,0.17,1020.8
Algeria,2/28/2020,0.0003,54.84,0.12,1018.1
Algeria,2/29/2020,0.0003,57,0.07,1015.8
Algeria,3/1/2020,0.0003,58.55,0.04,1016.5
Algeria,3/2/2020,0.0002,55.01,0.09,1018.8
Algeria,3/3/2020,0.0002,55.68,0.15,1020.2
Algeria,3/4/2020,0.0003,60.54,0.15,1018.3
Algeria,3/5/2020,0.0002,59.7,0.08,1012.6
Algeria,3/6/2020,0.0003,48.41,0.18,1015.1
Algeria,3/7/2020,0,44.12,0.18,1021.4
Algeria,3/8/2020,0.0004,46.35,0.16,1021.7
Algeria,3/9/2020,0,49.74,0.14,1019.6
Algeria,3/10/2020,0.0004,52.1,0.19,1021.3
Algeria,3/11/2020,0.0004,53.43,0.21,1018.9
Algeria,3/12/2020,0,56.41,0.15,1015.3
Algeria,3/13/2020,0,59.98,0.09,1014.3
Algeria,3/14/2020,0.0003,60.5,0.05,1010.6
Algeria,3/15/2020,0,56.87,0.07,1005.7
Algeria,3/16/2020,0.0014,58.15,0.09,1010.2
Algeria,3/17/2020,0,61.78,0.14,1011.2
Algeria,3/18/2020,0,53.06,0.15,1008.6
Algeria,3/19/2020,0,52.5,0.15,1007.6
Algeria,3/20/2020,0,55.53,0.22,1009.9
Algeria,3/21/2020,0,58.61,0.21,1008.8
Algeria,3/22/2020,0.0004,55.42,0.09,1005.5
Algeria,3/23/2020,0.0003,54.76,0.18,1003.3
Algeria,3/24/2020,0.0004,50.31,0.29,1005.8
Algeria,3/25/2020,0.0003,53.52,0.39,1012.3
Algeria,3/26/2020,0.0004,51.88,0.19,1010.4
Algeria,3/27/2020,0.006,56.16,0.16,1010.3
Algeria,3/28/2020,0.0066,53.05,0.39,1011.5
Algeria,3/29/2020,0.0004,56.48,0.32,1013.4
Algeria,3/30/2020,0.0003,58.64,0.14,1011.3
Algeria,3/31/2020,0.0004,59.48,0.09,1011.3
Algeria,4/1/2020,0.0003,57.42,0.07,1007.7
Algeria,4/2/2020,0.0002,59.18,0.15,1007.7
Algeria,4/3/2020,0.0002,58.55,0.14,1012.7
Algeria,4/4/2020,0.0002,59.64,0.13,1015.5
Algeria,4/5/2020,0.0002,62.89,0.11,1017.7
Algeria,4/6/2020,0,64.09,0.13,1017.7
Algeria,4/7/2020,0.0003,64.29,0.12,1016.3
Algeria,4/8/2020,0.0004,66.06,0.12,1014.4
Algeria,4/9/2020,0.0003,68.03,0.1,1012.6
Algeria,4/10/2020,0.0004,72.32,0.11,1011
Algeria,4/11/2020,0.0003,70.11,0.1,1009.6
Algeria,4/12/2020,0.0003,78.4,0.07,1008.3
Algeria,4/13/2020,0.0027,66.74,0.19,1012.3
Algeria,4/14/2020,0.0604,62.74,0.51,1016
Algeria,4/15/2020,0.0003,71.14,0.39,1016.8
Algeria,4/16/2020,0.0003,75.82,0.22,1013.5
Algeria,4/17/2020,0.0002,62.01,0.17,1010
Algeria,4/18/2020,0.1983,55.6,0.74,1011
Algeria,4/19/2020,0.0008,56.84,0.56,1013.4
Algeria,4/20/2020,0.0004,59.99,0.3,1010.8
Andorra,12/31/2019,0.0002,39.76,0.31,1032.7
Andorra,1/1/2020,0.0003,38.97,0.34,1031.2
Andorra,1/2/2020,0.0003,32.26,0.39,1031.6
Andorra,1/3/2020,0.0003,37.12,0.55,1033.8
Andorra,1/4/2020,0.0002,38.27,0.23,1031.4
Andorra,1/5/2020,0,39.92,0.34,1029.3
Andorra,1/6/2020,0.0002,41.27,0.35,1030.8
Andorra,1/7/2020,0.0002,37.62,0.58,1030.2
Andorra,1/8/2020,0.0002,37.38,0.67,1026.3
Andorra,1/9/2020,0.0202,28.83,0.67,1026.6
Andorra,1/10/2020,0.0008,34.17,0.28,1031.9
Andorra,1/11/2020,0.0003,34.12,0.17,1030.8
Andorra,1/12/2020,0.0003,34.18,0.2,1024.2
Andorra,1/13/2020,0,33.77,0.24,1020.1
Andorra,1/14/2020,0.0001,31.77,0.31,1022.3
Andorra,1/15/2020,0.0002,35.78,0.6,1026.4
Andorra,1/16/2020,0.0469,28.95,0.75,1027
Andorra,1/17/2020,0.0002,32.4,0.43,1027.8
Andorra,1/18/2020,0.0031,24.44,0.56,1025
Andorra,1/19/2020,0.0008,32.6,0.52,1030.8
Andorra,1/20/2020,0.0073,36.77,0.62,1027.4
Andorra,1/21/2020,0.0966,37.91,0.8,1023
Andorra,1/22/2020,0.1217,29.39,0.83,1021.6
Andorra,1/23/2020,0.0002,30.66,0.74,1022.6
Andorra,1/24/2020,0.01,33.86,0.81,1020.1
Andorra,1/25/2020,0.0445,29.29,0.8,1020.5
Andorra,1/26/2020,0.0005,31.21,0.74,1020
Andorra,1/27/2020,0.0009,30.05,0.76,1018.2
Andorra,1/28/2020,0.0003,34.21,0.55,1021.8
Andorra,1/29/2020,0.0017,41.17,0.78,1020.6
Andorra,1/30/2020,0.0006,36.98,0.77,1021
Andorra,1/31/2020,0.0007,39,0.68,1021.4
Andorra,2/1/2020,0.0002,43.8,0.64,1026.1
Andorra,2/2/2020,0.0003,42.39,0.55,1027.7
Andorra,2/3/2020,0.0013,30.17,0.59,1025.8
Andorra,2/4/2020,0.0003,31.98,0.23,1031.2
Andorra,2/5/2020,0,33.82,0.23,1027
Andorra,2/6/2020,0.0003,35.4,0.24,1024.6
Andorra,2/7/2020,0.0003,31.31,0.41,1024.6
Andorra,2/8/2020,0.0003,39.13,0.69,1027.7
Andorra,2/9/2020,0.0004,40.62,0.62,1026
Andorra,2/10/2020,0.0002,35.97,0.62,1024.4
Andorra,2/11/2020,0.0015,38.56,0.7,1024.8
Andorra,2/12/2020,0.0009,36.51,0.73,1020.9
Andorra,2/13/2020,0.0003,38.36,0.6,1025.2
Andorra,2/14/2020,0.0003,39.45,0.51,1025.6
Andorra,2/15/2020,0.0003,40.71,0.4,1024.6
Andorra,2/16/2020,0.0004,32.5,0.51,1025
Andorra,2/17/2020,0.0004,31.44,0.57,1031.7
Andorra,2/18/2020,0.0001,35.6,0.41,1031.2
Andorra,2/19/2020,0.0004,35.05,0.26,1025.8
Andorra,2/20/2020,0.0003,41.08,0.29,1030.1
Andorra,2/21/2020,0.0004,43.64,0.16,1032.3
Andorra,2/22/2020,0,41.53,0.2,1032.8
Andorra,2/23/2020,0,39.9,0.21,1026.1
Andorra,2/24/2020,0.0011,35.71,0.32,1017.3
Andorra,2/25/2020,0.002,29.05,0.5,1016.6
Andorra,2/26/2020,0.016,40.52,0.59,1016.5
Andorra,2/27/2020,0.005,38.28,0.65,1019.9
Andorra,2/28/2020,0.0127,37.99,0.69,1010.1
Andorra,2/29/2020,0.0207,38.93,0.74,1008.2
Andorra,3/1/2020,0.1623,29.36,0.73,999.6
Andorra,3/2/2020,0.0667,36.06,0.67,1009.8
Andorra,3/3/2020,0.0195,40.59,0.63,1015.9
Andorra,3/4/2020,0.0513,26.57,0.79,1007.9
Andorra,3/5/2020,0.0411,29.68,0.6,1010.8
Andorra,3/6/2020,0.0434,32.07,0.58,1021
Andorra,3/7/2020,0.0005,34.54,0.49,1022.8
Andorra,3/8/2020,0.0066,36.92,0.62,1021.7
Andorra,3/9/2020,0.0128,43.66,0.61,1023.8
Andorra,3/10/2020,0.0004,49.51,0.29,1023.4
Andorra,3/11/2020,0.0014,45.21,0.44,1020.7
Andorra,3/12/2020,0.0148,40.28,0.74,1020.4
Andorra,3/13/2020,0.0019,41.62,0.66,1020.5
Andorra,3/14/2020,0.01,41.11,0.68,1016.8
Andorra,3/15/2020,0.0835,38.56,0.84,1017.3
Andorra,3/16/2020,0.0173,40.47,0.8,1027.6
Andorra,3/17/2020,0.0182,37.73,0.73,1026.9
Andorra,3/18/2020,0.0003,34.75,0.59,1022.4
Andorra,3/19/2020,0.0002,34.3,0.57,1018.9
Andorra,3/20/2020,0.0032,35.77,0.59,1013.8
Andorra,3/21/2020,0.0631,34.23,0.75,1013.3
Andorra,3/22/2020,0.0109,36.47,0.78,1019
Andorra,3/23/2020,0.0019,32.26,0.64,1019.7
Andorra,3/24/2020,0.0309,30.08,0.76,1016.4
Andorra,3/25/2020,0.0154,26.91,0.65,1011.3
Andorra,3/26/2020,0.0068,33.25,0.59,1014.9
Andorra,3/27/2020,0.0344,34.23,0.71,1017.5
Andorra,3/28/2020,0.0031,33.11,0.66,1016.6
Andorra,3/29/2020,0.096,33.21,0.81,1015.8
Andorra,3/30/2020,0.0184,37.2,0.81,1015.1
Andorra,3/31/2020,0.0216,37.76,0.8,1014.7
Andorra,4/1/2020,0.0383,33.03,0.79,1013.2
Andorra,4/2/2020,0.0022,31.83,0.6,1016.1
Andorra,4/3/2020,0.0002,33.55,0.49,1018.6
Andorra,4/4/2020,0.0002,37.73,0.56,1019.7
Andorra,4/5/2020,0.0253,41.92,0.7,1022
Andorra,4/6/2020,0.0054,41.41,0.81,1025.9
Andorra,4/7/2020,0.0531,41.82,0.78,1024.3
Andorra,4/8/2020,0.0404,40.91,0.73,1021.7
Andorra,4/9/2020,0.007,41.87,0.67,1021.2
Andorra,4/10/2020,0.0093,41.98,0.69,1021.3
Andorra,4/11/2020,0.0013,39.36,0.74,1018.5
Andorra,4/12/2020,0.0831,41.18,0.77,1011.4
Andorra,4/13/2020,0.0045,40.15,0.72,1013.2
Andorra,4/14/2020,0.0036,43.28,0.69,1016.6
Andorra,4/15/2020,0.0023,46.51,0.69,1018.1
Andorra,4/16/2020,0.0002,47.52,0.61,1016.7
Andorra,4/17/2020,0.0072,47.85,0.63,1015.5
Andorra,4/18/2020,0.0711,46.64,0.81,1011.1
Andorra,4/19/2020,0.0365,45.05,0.84,1007
Andorra,4/20/2020,0.0264,45.07,0.85,1006
Antigua and Barbuda,12/31/2019,0.0107,75.56,0.78,1014
Antigua and Barbuda,1/1/2020,0.0152,75.39,0.77,1014.4
Antigua and Barbuda,1/2/2020,0.0262,75.83,0.77,1015.6
Antigua and Barbuda,1/3/2020,0.0009,75.95,0.75,1017.3
Antigua and Barbuda,1/4/2020,0.0026,75.75,0.76,1017
Antigua and Barbuda,1/5/2020,0.004,74.87,0.75,1015.6
Antigua and Barbuda,1/6/2020,0.0012,74.79,0.73,1015.3
Antigua and Barbuda,1/7/2020,0.007,75.83,0.76,1016.6
Antigua and Barbuda,1/8/2020,0.0201,75.75,0.78,1018.3
Antigua and Barbuda,1/9/2020,0.0186,76.22,0.76,1019
Antigua and Barbuda,1/10/2020,0.0059,75.66,0.73,1019.2
Antigua and Barbuda,1/11/2020,0.0274,75.4,0.76,1018.7
Antigua and Barbuda,1/12/2020,0.0162,74.38,0.75,1019.3
Antigua and Barbuda,1/13/2020,0.0218,73.97,0.75,1018.6
Antigua and Barbuda,1/14/2020,0.0328,74.77,0.78,1016.8
Antigua and Barbuda,1/15/2020,0.031,74.46,0.74,1016.4
Antigua and Barbuda,1/16/2020,0.0096,74.08,0.76,1017.5
